"","Gene_ID","n_SNPs","n_in_exons","n_introns","n_upstream","n_downstream","n_nonsynonymous","n_synonymous","n_modifer","n_low_impact","n_mod_impact","n_high_impact","effects","max_upstream_dist","min_upstream_dist","CHROM","n_in_gene","gene_length","gene_length_kb","n_in_gene_per_kb","up_to_in_ratio","up_to_in_per_kb_ratio","In_sigs","n_in_gene_per_kb_tf"
"1269","YDR314C",12,12,0,0,0,4,8,0,8,4,0,"missense_variant;synonymous_variant",NA,NA,"IV",12,2079,2.079,5.77200577200577,0,0,FALSE,2.40249990052149
"1270","YDR315C",6,6,0,0,0,5,1,0,1,5,0,"missense_variant;synonymous_variant",NA,NA,"IV",6,846,0.846,7.09219858156028,0,0,FALSE,2.66311820645654
"1271","YDR316W",4,4,0,0,0,1,3,0,3,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",4,1416,1.416,2.82485875706215,0,0,FALSE,1.68073161363204
"1272","YDR317W",22,14,0,8,0,7,7,8,7,7,0,"upstream_gene_variant;synonymous_variant;missense_variant",522,88,"IV",14,1245,1.245,11.2449799196787,0.571428571428571,0.711428571428571,FALSE,3.35335353335712
"1273","YDR318W",15,10,0,5,0,8,0,5,0,8,2,"upstream_gene_variant;missense_variant;stop_gained;stop_lost",303,166,"IV",10,1190,1.19,8.40336134453782,0.5,0.595,FALSE,2.89885517826224
"1274","YDR319C",7,6,0,1,0,1,5,1,5,1,0,"missense_variant;synonymous_variant;upstream_gene_variant",45,45,"IV",6,825,0.825,7.27272727272727,0.166666666666667,0.1375,FALSE,2.69679944985297
"1275","YDR320C",18,18,0,0,0,11,7,0,7,11,0,"missense_variant;synonymous_variant",NA,NA,"IV",18,2007,2.007,8.96860986547085,0,0,FALSE,2.9947637411774
"1276","YDR320C-A",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"IV",1,219,0.219,4.5662100456621,0,0,FALSE,2.13686921585344
"1277","YDR320W-B",2,2,0,0,0,1,0,0,0,1,1,"start_lost;missense_variant",NA,NA,"IV",2,NA,NA,NA,0,NA,FALSE,NA
"1278","YDR321W",6,6,0,0,0,0,6,0,6,0,0,"synonymous_variant",NA,NA,"IV",6,1146,1.146,5.23560209424084,0,0,FALSE,2.28814380978138
"1279","YDR322W",7,7,0,0,0,4,3,0,3,4,0,"synonymous_variant;missense_variant",NA,NA,"IV",7,1104,1.104,6.34057971014493,0,0,FALSE,2.51805077592667
"1280","YDR323C",15,15,0,0,0,9,6,0,6,9,0,"missense_variant;synonymous_variant",NA,NA,"IV",15,1548,1.548,9.68992248062015,0,0,FALSE,3.11286403182345
"1281","YDR324C",10,10,0,0,0,2,8,0,8,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",10,2331,2.331,4.29000429000429,0,0,FALSE,2.07123255333733
"1282","YDR325W",20,20,0,0,0,6,14,0,14,6,0,"synonymous_variant;missense_variant",NA,NA,"IV",20,3108,3.108,6.43500643500643,0,0,FALSE,2.53673144715921
"1283","YDR326C",32,26,0,6,0,9,17,6,17,9,0,"missense_variant;synonymous_variant;upstream_gene_variant",303,146,"IV",26,4317,4.317,6.02270094973361,0.230769230769231,0.996230769230769,FALSE,2.45411918001828
"1284","YDR327W",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,NA,NA,NA,0,NA,FALSE,NA
"1285","YDR329C",12,12,0,0,0,2,10,0,10,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",12,1326,1.326,9.04977375565611,0,0,FALSE,3.00828418798093
"1286","YDR330W",8,8,0,0,0,0,8,0,8,0,0,"synonymous_variant",NA,NA,"IV",8,1503,1.503,5.3226879574185,0,0,FALSE,2.30709513401994
"1287","YDR331W",2,2,0,0,0,1,1,0,1,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",2,1236,1.236,1.61812297734628,0,0,FALSE,1.27205462828696
"1288","YDR332W",8,8,0,0,0,4,4,0,4,4,0,"missense_variant;synonymous_variant",NA,NA,"IV",8,2070,2.07,3.86473429951691,0,0,FALSE,1.96589274873196
"1289","YDR333C",11,10,0,1,0,5,5,1,5,5,0,"synonymous_variant;missense_variant;upstream_gene_variant",153,153,"IV",10,2172,2.172,4.60405156537753,0.1,0.2172,FALSE,2.14570537711437
"1290","YDR334W",30,30,0,0,0,13,17,0,17,13,0,"missense_variant;synonymous_variant",NA,NA,"IV",30,4545,4.545,6.6006600660066,0,0,FALSE,2.56917497769354
"1291","YDR335W",16,15,0,1,0,3,12,1,12,3,0,"upstream_gene_variant;synonymous_variant;missense_variant",129,129,"IV",15,3675,3.675,4.08163265306122,0.0666666666666667,0.245,FALSE,2.02030508910442
"1292","YDR336W",2,2,0,0,0,1,1,0,1,1,0,"missense_variant;synonymous_variant",NA,NA,"IV",2,945,0.945,2.11640211640212,0,0,FALSE,1.45478593490662
"1293","YDR337W",5,5,0,0,0,2,3,0,3,2,0,"missense_variant;synonymous_variant",NA,NA,"IV",5,861,0.861,5.80720092915215,0,0,FALSE,2.4098134635594
"1294","YDR338C",25,19,0,6,0,3,16,6,16,3,0,"missense_variant;synonymous_variant;upstream_gene_variant",307,12,"IV",19,2088,2.088,9.09961685823755,0.31578947368421,0.659368421052632,FALSE,3.01655712000246
"1295","YDR339C",6,6,0,0,0,2,4,0,4,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",6,570,0.57,10.5263157894737,0,0,FALSE,3.24442842261525
"1296","YDR340W",8,8,0,0,0,5,3,0,3,5,0,"missense_variant;synonymous_variant",NA,NA,"IV",8,NA,NA,NA,0,NA,FALSE,NA
"1297","YDR341C",7,7,0,0,0,1,6,0,6,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",7,1824,1.824,3.83771929824561,0,0,FALSE,1.95900977492345
"1298","YDR342C",9,9,0,0,0,3,6,0,6,3,0,"synonymous_variant;missense_variant",NA,NA,"IV",9,1713,1.713,5.25394045534151,0,0,FALSE,2.29214756404153
"1299","YDR343C",14,10,0,4,0,2,8,4,8,2,0,"synonymous_variant;missense_variant;upstream_gene_variant",668,236,"IV",10,1713,1.713,5.83771161704612,0.4,0.6852,FALSE,2.41613567852596
"1300","YDR345C",27,27,0,0,0,6,21,0,21,6,0,"missense_variant;synonymous_variant",NA,NA,"IV",27,1704,1.704,15.8450704225352,0,0,FALSE,3.98058669325706
"1301","YDR346C",15,15,0,0,0,2,13,0,13,2,0,"missense_variant;synonymous_variant",NA,NA,"IV",15,1446,1.446,10.3734439834025,0,0,FALSE,3.22078313200415
"1302","YDR347W",6,6,0,0,0,2,4,0,4,2,0,"missense_variant;synonymous_variant",NA,NA,"IV",6,966,0.966,6.2111801242236,0,0,TRUE,2.49222393139613
"1303","YDR348C",13,13,0,0,0,3,10,0,10,3,0,"synonymous_variant;missense_variant",NA,NA,"IV",13,1500,1.5,8.66666666666667,0,0,FALSE,2.94392028877595
"1304","YDR349C",20,20,0,0,0,8,12,0,12,8,0,"synonymous_variant;missense_variant",NA,NA,"IV",20,1791,1.791,11.1669458403127,0,0,FALSE,3.34169804744724
"1305","YDR350C",22,22,0,0,0,9,13,0,13,9,0,"synonymous_variant;missense_variant",NA,NA,"IV",22,2055,2.055,10.705596107056,0,0,FALSE,3.27194072486895
"1306","YDR351W",23,23,0,0,0,8,15,0,15,8,0,"synonymous_variant;missense_variant",NA,NA,"IV",23,2595,2.595,8.86319845857418,0,0,FALSE,2.97711243633394
"1307","YDR352W",15,15,0,0,0,3,12,0,12,3,0,"synonymous_variant;missense_variant",NA,NA,"IV",15,954,0.954,15.7232704402516,0,0,FALSE,3.96525792859072
"1308","YDR353W",5,4,0,1,0,0,4,1,4,0,0,"upstream_gene_variant;synonymous_variant",75,75,"IV",4,960,0.96,4.16666666666667,0.25,0.24,FALSE,2.04124145231932
"1309","YDR354C-A",4,1,0,3,0,1,0,3,0,1,0,"missense_variant;upstream_gene_variant",773,645,"IV",1,NA,NA,NA,3,NA,FALSE,NA
"1310","YDR354W",19,13,0,6,0,0,13,6,13,0,0,"upstream_gene_variant;synonymous_variant",407,22,"IV",13,1143,1.143,11.3735783027122,0.461538461538462,0.527538461538462,FALSE,3.37247361779335
"1311","YDR355C",3,3,0,0,0,2,1,0,1,2,0,"missense_variant;synonymous_variant",NA,NA,"IV",3,NA,NA,NA,0,NA,FALSE,NA
"1312","YDR356W",20,20,0,0,0,8,12,0,12,8,0,"synonymous_variant;missense_variant",NA,NA,"IV",20,2835,2.835,7.05467372134039,0,0,FALSE,2.65606357629865
"1313","YDR357C",4,4,0,0,0,3,1,0,1,3,0,"missense_variant;synonymous_variant",NA,NA,"IV",4,369,0.369,10.840108401084,0,0,FALSE,3.29243198883197
"1314","YDR358W",9,9,0,0,0,5,4,0,4,5,0,"synonymous_variant;missense_variant",NA,NA,"IV",9,1674,1.674,5.37634408602151,0,0,FALSE,2.31869447880084
"1315","YDR359C",25,21,0,4,0,10,11,4,11,10,0,"synonymous_variant;missense_variant;upstream_gene_variant",516,183,"IV",21,2949,2.949,7.12105798575788,0.19047619047619,0.561714285714286,FALSE,2.66853105392422
"1316","YDR360W",2,2,0,0,0,2,0,0,0,2,0,"missense_variant",NA,NA,"IV",2,NA,NA,NA,0,NA,FALSE,NA
"1317","YDR361C",5,5,0,0,0,1,4,0,4,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",5,852,0.852,5.86854460093897,0,0,FALSE,2.42250791555755
"1318","YDR362C",12,12,0,0,0,6,6,0,6,6,0,"synonymous_variant;missense_variant",NA,NA,"IV",12,2019,2.019,5.94353640416047,0,0,FALSE,2.4379369155416
"1319","YDR363W",8,8,0,0,0,4,4,0,4,4,0,"synonymous_variant;missense_variant",NA,NA,"IV",8,1371,1.371,5.83515681983953,0,0,FALSE,2.41560692577239
"1320","YDR363W-A",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"IV",1,270,0.27,3.7037037037037,0,0,FALSE,1.92450089729875
"1321","YDR364C",11,9,0,2,0,3,6,2,6,3,0,"synonymous_variant;missense_variant;upstream_gene_variant",216,189,"IV",9,1368,1.368,6.57894736842105,0.222222222222222,0.304,FALSE,2.56494588021289
"1322","YDR365C",9,9,0,0,0,2,7,0,7,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",9,1887,1.887,4.76947535771065,0,0,FALSE,2.18391285488012
"1323","YDR366C",5,1,0,4,0,1,0,4,0,1,0,"missense_variant;upstream_gene_variant",989,797,"IV",1,399,0.399,2.5062656641604,4,1.596,FALSE,1.58311896715326
"1324","YDR367W",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,767,0.767,1.30378096479791,0,0,FALSE,1.14183228400581
"1325","YDR368W",4,4,0,0,0,1,3,0,3,1,0,"missense_variant;synonymous_variant",NA,NA,"IV",4,939,0.939,4.25985090521832,0,0,FALSE,2.06394062541012
"1326","YDR369C",23,23,0,0,0,11,12,0,12,11,0,"missense_variant;synonymous_variant",NA,NA,"IV",23,2565,2.565,8.96686159844055,0,0,FALSE,2.99447183964728
"1327","YDR370C",9,9,0,0,0,5,4,0,4,5,0,"missense_variant;synonymous_variant",NA,NA,"IV",9,1329,1.329,6.77200902934537,0,0,FALSE,2.60230840396471
"1328","YDR371C-A",2,2,0,0,0,1,0,0,1,1,0,"splice_region_variant&stop_retained_variant;missense_variant",NA,NA,"IV",2,NA,NA,NA,0,NA,FALSE,NA
"1329","YDR371W",11,11,0,0,0,2,9,0,9,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",11,1536,1.536,7.16145833333333,0,0,FALSE,2.67609012055523
"1330","YDR372C",4,4,0,0,0,1,3,0,3,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",4,1038,1.038,3.85356454720617,0,0,FALSE,1.96304980762236
"1331","YDR373W",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"IV",1,573,0.573,1.74520069808028,0,0,FALSE,1.32106044452185
"1332","YDR374C",7,7,0,0,0,3,4,0,4,3,0,"missense_variant;synonymous_variant",NA,NA,"IV",7,921,0.921,7.60043431053203,0,0,FALSE,2.75688851978676
"1333","YDR374W-A",2,2,0,0,0,1,1,0,1,1,0,"missense_variant;synonymous_variant",NA,NA,"IV",2,270,0.27,7.40740740740741,0,0,FALSE,2.72165526975909
"1334","YDR375C",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"IV",3,1371,1.371,2.18818380743982,0,0,FALSE,1.47925109681887
"1335","YDR376W",9,9,0,0,0,5,4,0,4,5,0,"synonymous_variant;missense_variant",NA,NA,"IV",9,1482,1.482,6.07287449392713,0,0,FALSE,2.46432029045072
"1336","YDR377W",2,2,0,0,0,0,2,0,2,0,0,"synonymous_variant",NA,NA,"IV",2,306,0.306,6.5359477124183,0,0,FALSE,2.55654996282457
"1337","YDR378C",2,2,0,0,0,1,1,0,1,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",2,261,0.261,7.66283524904215,0,0,FALSE,2.76818266179133
"1338","YDR379C-A",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"IV",1,240,0.24,4.16666666666667,0,0,FALSE,2.04124145231932
"1339","YDR379W",19,19,0,0,0,10,9,0,9,10,0,"synonymous_variant;missense_variant",NA,NA,"IV",19,3030,3.03,6.27062706270627,0,0,FALSE,2.50412201434081
"1340","YDR380W",9,9,0,0,0,0,9,0,9,0,0,"synonymous_variant",NA,NA,"IV",9,1908,1.908,4.71698113207547,0,0,TRUE,2.17186121381535
"1341","YDR381C-A",4,1,0,3,0,0,1,3,1,0,0,"synonymous_variant;upstream_gene_variant",504,193,"IV",1,539,0.539,1.85528756957328,3,1.617,FALSE,1.36208941320799
"1342","YDR381W",3,3,0,0,0,1,2,0,2,1,0,"missense_variant;synonymous_variant",NA,NA,"IV",3,1447,1.447,2.07325501036628,0,0,FALSE,1.43988020694997
"1343","YDR382W",3,1,0,2,0,0,1,2,1,0,0,"upstream_gene_variant;synonymous_variant",845,844,"IV",1,333,0.333,3.003003003003,2,0.666,FALSE,1.73291748303345
"1344","YDR383C",11,11,0,0,0,1,10,0,10,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",11,717,0.717,15.3417015341702,0,0,FALSE,3.91684841858479
"1345","YDR384C",2,2,0,0,0,0,2,0,2,0,0,"synonymous_variant",NA,NA,"IV",2,828,0.828,2.41545893719807,0,0,FALSE,1.55417468040052
"1346","YDR386W",6,6,0,0,0,1,5,0,5,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",6,1899,1.899,3.15955766192733,0,0,FALSE,1.7775144618054
"1347","YDR387C",15,12,0,3,0,5,7,3,7,5,0,"synonymous_variant;missense_variant;upstream_gene_variant",332,153,"IV",12,1668,1.668,7.19424460431655,0.25,0.417,FALSE,2.6822089039291
"1348","YDR388W",8,8,0,0,0,2,6,0,6,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",8,1449,1.449,5.52104899930987,0,0,FALSE,2.34969125616747
"1349","YDR389W",18,18,0,0,0,5,13,0,13,5,0,"synonymous_variant;missense_variant",NA,NA,"IV",18,1965,1.965,9.16030534351145,0,0,FALSE,3.02659963383191
"1350","YDR390C",30,21,0,9,0,6,15,9,15,6,0,"synonymous_variant;missense_variant;upstream_gene_variant",505,29,"IV",21,1911,1.911,10.989010989011,0.428571428571429,0.819,FALSE,3.31496772065898
"1351","YDR391C",5,5,0,0,0,3,2,0,2,3,0,"synonymous_variant;missense_variant",NA,NA,"IV",5,699,0.699,7.15307582260372,0,0,FALSE,2.6745234757997
"1352","YDR392W",5,5,0,0,0,1,4,0,4,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",5,1014,1.014,4.93096646942801,0,0,FALSE,2.22057795842164
"1353","YDR393W",19,19,0,0,0,9,10,0,10,9,0,"synonymous_variant;missense_variant",NA,NA,"IV",19,1371,1.371,13.8584974471189,0,0,FALSE,3.72270028972504
"1354","YDR394W",7,7,0,0,0,1,6,0,6,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",7,1287,1.287,5.43900543900544,0,0,FALSE,2.33216754093814
"1355","YDR395W",25,24,0,1,0,3,21,1,21,3,0,"upstream_gene_variant;synonymous_variant;missense_variant",59,59,"IV",24,2835,2.835,8.46560846560847,0.0416666666666667,0.118125,FALSE,2.90957186981323
"1356","YDR396W",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,NA,NA,NA,0,NA,FALSE,NA
"1357","YDR397C",6,4,0,2,0,2,0,2,0,2,2,"missense_variant;stop_lost;upstream_gene_variant",572,54,"IV",4,533,0.533,7.5046904315197,0.5,0.2665,FALSE,2.73946900539497
"1358","YDR398W",13,13,0,0,0,4,9,0,9,4,0,"synonymous_variant;missense_variant",NA,NA,"IV",13,1932,1.932,6.7287784679089,0,0,FALSE,2.59398891052157
"1359","YDR399W",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"IV",3,666,0.666,4.5045045045045,0,0,FALSE,2.12238179989004
"1360","YDR400W",9,9,0,0,0,3,6,0,6,3,0,"synonymous_variant;missense_variant",NA,NA,"IV",9,1023,1.023,8.79765395894428,0,0,FALSE,2.96608394334083
"1361","YDR401W",4,2,0,2,0,1,1,2,1,1,0,"upstream_gene_variant;synonymous_variant;missense_variant",111,59,"IV",2,NA,NA,NA,1,NA,FALSE,NA
"1362","YDR402C",9,4,0,5,0,3,1,5,1,3,0,"missense_variant;synonymous_variant;upstream_gene_variant",806,389,"IV",4,1470,1.47,2.72108843537415,1.25,1.8375,FALSE,1.64957219768464
"1363","YDR403W",21,21,0,0,0,9,12,0,12,9,0,"missense_variant;synonymous_variant",NA,NA,"IV",21,1611,1.611,13.0353817504656,0,0,FALSE,3.61045450746378
"1364","YDR404C",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"IV",1,516,0.516,1.93798449612403,0,0,FALSE,1.39211511597426
"1365","YDR405W",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,792,0.792,1.26262626262626,0,0,FALSE,1.12366643743874
"1366","YDR406W",30,30,0,0,0,9,21,0,21,9,0,"missense_variant;synonymous_variant",NA,NA,"IV",30,4590,4.59,6.5359477124183,0,0,FALSE,2.55654996282457
"1367","YDR406W-A",6,6,0,0,0,4,1,0,1,4,1,"missense_variant;stop_gained;synonymous_variant",NA,NA,"IV",6,NA,NA,NA,0,NA,FALSE,NA
"1368","YDR407C",27,25,0,2,0,8,17,2,17,8,0,"synonymous_variant;missense_variant;upstream_gene_variant",152,49,"IV",25,3870,3.87,6.45994832041344,0.08,0.3096,FALSE,2.54164283887674
"1369","YDR408C",2,2,0,0,0,1,1,0,1,1,0,"missense_variant;synonymous_variant",NA,NA,"IV",2,645,0.645,3.10077519379845,0,0,FALSE,1.76090181265125
"1370","YDR409W",19,19,0,0,0,7,11,0,12,7,0,"synonymous_variant;missense_variant;splice_region_variant&stop_retained_variant",NA,NA,"IV",19,2715,2.715,6.99815837937385,0,0,FALSE,2.64540325458593
"1371","YDR410C",2,2,0,0,0,1,1,0,1,1,0,"missense_variant;synonymous_variant",NA,NA,"IV",2,720,0.72,2.77777777777778,0,0,FALSE,1.66666666666667
"1372","YDR411C",12,12,0,0,0,4,8,0,8,4,0,"synonymous_variant;missense_variant",NA,NA,"IV",12,1026,1.026,11.6959064327485,0,0,FALSE,3.41992784028385
"1373","YDR412W",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"IV",3,708,0.708,4.23728813559322,0,0,FALSE,2.05846742398155
"1374","YDR413C",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,NA,NA,NA,0,NA,FALSE,NA
"1375","YDR414C",5,5,0,0,0,3,2,0,2,3,0,"missense_variant;synonymous_variant",NA,NA,"IV",5,1089,1.089,4.59136822773186,0,0,FALSE,2.14274782177742
"1376","YDR415C",9,9,0,0,0,2,7,0,7,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",9,1125,1.125,8,0,0,FALSE,2.82842712474619
"1377","YDR416W",22,22,0,0,0,9,13,0,13,9,0,"missense_variant;synonymous_variant",NA,NA,"IV",22,2580,2.58,8.52713178294574,0,0,FALSE,2.92012530261044
"1378","YDR417C",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"IV",1,NA,NA,NA,0,NA,FALSE,NA
"1379","YDR419W",10,10,0,0,0,2,8,0,8,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",10,1899,1.899,5.26592943654555,0,0,FALSE,2.29476130273838
"1380","YDR420W",35,35,0,0,0,26,9,0,9,26,0,"missense_variant;synonymous_variant",NA,NA,"IV",35,5409,5.409,6.47069698650397,0,0,FALSE,2.54375647154046
"1381","YDR421W",32,26,0,6,0,13,13,6,13,13,0,"upstream_gene_variant;missense_variant;synonymous_variant",272,2,"IV",26,2853,2.853,9.11321416053277,0.230769230769231,0.658384615384615,FALSE,3.01881005704777
"1382","YDR422C",16,12,0,4,0,6,6,4,6,6,0,"synonymous_variant;missense_variant;upstream_gene_variant",272,114,"IV",12,2448,2.448,4.90196078431373,0.333333333333333,0.816,FALSE,2.21403721385024
"1383","YDR423C",16,16,0,0,0,11,5,0,5,11,0,"missense_variant;synonymous_variant",NA,NA,"IV",16,1230,1.23,13.0081300813008,0,0,FALSE,3.60667853866973
"1384","YDR424C",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"IV",1,455,0.455,2.1978021978022,0,0,FALSE,1.4824986333222
"1385","YDR425W",8,8,0,0,0,1,7,0,7,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",8,1878,1.878,4.25985090521832,0,0,FALSE,2.06394062541012
"1386","YDR426C",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,NA,NA,NA,0,NA,FALSE,NA
"1387","YDR427W",6,6,0,0,0,1,5,0,5,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",6,1182,1.182,5.0761421319797,0,0,FALSE,2.25302954529666
"1388","YDR428C",8,8,0,0,0,2,6,0,6,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",8,786,0.786,10.1781170483461,0,0,FALSE,3.19031613611348
"1389","YDR429C",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,825,0.825,1.21212121212121,0,0,FALSE,1.10096376512636
"1390","YDR430C",11,11,0,0,0,0,11,0,11,0,0,"synonymous_variant",NA,NA,"IV",11,2970,2.97,3.7037037037037,0,0,FALSE,1.92450089729875
"1391","YDR432W",2,2,0,0,0,2,0,0,0,2,0,"missense_variant",NA,NA,"IV",2,1245,1.245,1.60642570281124,0,0,FALSE,1.26744850104896
"1392","YDR433W",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,NA,NA,NA,0,NA,FALSE,NA
"1393","YDR434W",13,13,0,0,0,2,11,0,11,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",13,1605,1.605,8.09968847352025,0,0,FALSE,2.84599516400156
"1394","YDR435C",17,9,0,8,0,4,5,8,5,4,0,"synonymous_variant;missense_variant;upstream_gene_variant",644,92,"IV",9,987,0.987,9.11854103343465,0.888888888888889,0.877333333333333,FALSE,3.01969220839387
"1395","YDR436W",9,9,0,0,0,2,7,0,7,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",9,2133,2.133,4.21940928270042,0,0,FALSE,2.0541200750444
"1396","YDR437W",2,2,0,0,0,1,1,0,1,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",2,423,0.423,4.72813238770686,0,0,FALSE,2.17442691017814
"1397","YDR438W",15,15,0,0,0,6,9,0,9,6,0,"synonymous_variant;missense_variant",NA,NA,"IV",15,1113,1.113,13.4770889487871,0,0,FALSE,3.67111549107176
"1398","YDR439W",3,2,0,1,0,0,2,1,2,0,0,"upstream_gene_variant;synonymous_variant",188,188,"IV",2,1044,1.044,1.91570881226054,0.5,0.522,FALSE,1.38409133089567
"1399","YDR440W",34,17,0,17,0,6,11,17,11,6,0,"upstream_gene_variant;missense_variant;synonymous_variant",997,60,"IV",17,1749,1.749,9.71983990851915,1,1.749,FALSE,3.11766577883505
"1400","YDR441C",7,3,0,4,0,1,2,4,2,1,0,"synonymous_variant;missense_variant;upstream_gene_variant",570,2,"IV",3,546,0.546,5.49450549450549,1.33333333333333,0.728,FALSE,2.34403615469248
"1401","YDR442W",4,4,0,0,0,1,2,0,2,1,1,"missense_variant;synonymous_variant;stop_gained",NA,NA,"IV",4,NA,NA,NA,0,NA,FALSE,NA
"1402","YDR443C",28,27,0,1,0,6,21,1,21,6,0,"missense_variant;synonymous_variant;upstream_gene_variant",197,197,"IV",27,4263,4.263,6.33356790992259,0.037037037037037,0.157888888888889,FALSE,2.51665808363444
"1403","YDR444W",15,15,0,0,0,4,11,0,11,4,0,"missense_variant;synonymous_variant",NA,NA,"IV",15,2064,2.064,7.26744186046512,0,0,FALSE,2.69581933008596
"1404","YDR445C",2,2,0,0,0,2,0,0,0,2,0,"missense_variant",NA,NA,"IV",2,NA,NA,NA,0,NA,FALSE,NA
"1405","YDR446W",8,8,0,0,0,4,4,0,4,4,0,"synonymous_variant;missense_variant",NA,NA,"IV",8,909,0.909,8.8008800880088,0,0,FALSE,2.96662772993323
"1406","YDR447C",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,725,0.725,1.37931034482759,0,0,FALSE,1.17444043902941
"1407","YDR448W",6,6,0,0,0,2,4,0,4,2,0,"missense_variant;synonymous_variant",NA,NA,"IV",6,1305,1.305,4.59770114942529,0,0,FALSE,2.14422506967559
"1408","YDR449C",4,4,0,0,0,2,2,0,2,2,0,"missense_variant;synonymous_variant",NA,NA,"IV",4,1323,1.323,3.02343159486017,0,0,FALSE,1.73880176985767
"1409","YDR451C",5,5,0,0,0,2,3,0,3,2,0,"synonymous_variant;missense_variant",NA,NA,"IV",5,1062,1.062,4.70809792843691,0,0,FALSE,2.16981518301373
"1410","YDR452W",10,10,0,0,0,5,5,0,5,5,0,"missense_variant;synonymous_variant",NA,NA,"IV",10,2025,2.025,4.93827160493827,0,0,FALSE,2.22222222222222
"1411","YDR453C",2,2,0,0,0,2,0,0,0,2,0,"missense_variant",NA,NA,"IV",2,591,0.591,3.38409475465313,0,0,FALSE,1.83959092046388
"1412","YDR454C",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"IV",3,564,0.564,5.31914893617021,0,0,FALSE,2.30632802007221
"1413","YDR455C",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"IV",1,NA,NA,NA,0,NA,FALSE,NA
"1414","YDR456W",9,9,0,0,0,1,8,0,8,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",9,1902,1.902,4.73186119873817,0,0,FALSE,2.1752841650548
"1415","YDR457W",36,36,0,0,0,8,28,0,28,8,0,"synonymous_variant;missense_variant",NA,NA,"IV",36,9807,9.807,3.67084735393087,0,0,FALSE,1.91594555087843
"1416","YDR458C",11,10,0,1,0,5,5,1,5,5,0,"synonymous_variant;missense_variant;upstream_gene_variant",133,133,"IV",10,1992,1.992,5.02008032128514,0.1,0.1992,FALSE,2.2405535747411
"1417","YDR459C",6,6,0,0,0,0,6,0,6,0,0,"synonymous_variant",NA,NA,"IV",6,1125,1.125,5.33333333333333,0,0,FALSE,2.3094010767585
"1418","YDR460W",4,4,0,0,0,0,4,0,4,0,0,"synonymous_variant",NA,NA,"IV",4,966,0.966,4.1407867494824,0,0,FALSE,2.0348923188912
"1419","YDR461C-A",3,3,0,0,0,1,2,0,2,1,0,"synonymous_variant;missense_variant",NA,NA,"IV",3,243,0.243,12.3456790123457,0,0,FALSE,3.51364184463153
