# Program:featureCounts v1.6.3; Command:"featureCounts" "-F" "GFF" "-t" "mRNA" "-g" "Parent" "-s" "1" "-a" "yeast.2023.mRNA.sgd.gff" "-o" "gene_count_matrix.txt" "RNAseq_OLD_rep01.bam" "RNAseq_OLD_rep02.bam" "RNAseq_OLD_rep03.bam" "RNAseq_OLD_rep04.bam" "RNAseq_OLD_rep05.bam" "RNAseq_OLD_rep06.bam" "RNAseq_OLD_rep07.bam" "RNAseq_OLD_rep08.bam" "RNAseq_OLD_rep09.bam" "RNAseq_OLD_rep10.bam" "RNAseq_OLD_rep11.bam" "RNAseq_OLD_rep12.bam" "RNAseq_YOUNG_rep01.bam" "RNAseq_YOUNG_rep02.bam" "RNAseq_YOUNG_rep03.bam" "RNAseq_YOUNG_rep04.bam" "RNAseq_YOUNG_rep05.bam" "RNAseq_YOUNG_rep06.bam" "RNAseq_YOUNG_rep07.bam" "RNAseq_YOUNG_rep08.bam" "RNAseq_YOUNG_rep09.bam" "RNAseq_YOUNG_rep10.bam" "RNAseq_YOUNG_rep11.bam" "RNAseq_YOUNG_rep12.bam" 
Geneid	Chr	Start	End	Strand	Length	RNAseq_OLD_rep01.bam	RNAseq_OLD_rep02.bam	RNAseq_OLD_rep03.bam	RNAseq_OLD_rep04.bam	RNAseq_OLD_rep05.bam	RNAseq_OLD_rep06.bam	RNAseq_OLD_rep07.bam	RNAseq_OLD_rep08.bam	RNAseq_OLD_rep09.bam	RNAseq_OLD_rep10.bam	RNAseq_OLD_rep11.bam	RNAseq_OLD_rep12.bam	RNAseq_YOUNG_rep01.bam	RNAseq_YOUNG_rep02.bam	RNAseq_YOUNG_rep03.bam	RNAseq_YOUNG_rep04.bam	RNAseq_YOUNG_rep05.bam	RNAseq_YOUNG_rep06.bam	RNAseq_YOUNG_rep07.bam	RNAseq_YOUNG_rep08.bam	RNAseq_YOUNG_rep09.bam	RNAseq_YOUNG_rep10.bam	RNAseq_YOUNG_rep11.bam	RNAseq_YOUNG_rep12.bam
YDR308C	chrIV;chrIV	1075773;1077417	1078490;1078538	-;-	2766	925	820	1326	1266	1215	1050	1892	1565	879	714	1614	1111	1074	1335	811	1677	773	1376	2311	1998	2167	1793	1472	1493
YDR309C	chrIV;chrIV	1078684;1078749	1080379;1080736	-;-	2053	625	720	1092	1073	889	984	1233	1071	633	452	1069	676	920	1202	597	1197	565	777	1452	1178	1175	1022	1146	876
YDR310C	chrIV	1081128	1084316	-	3189	1218	1255	1242	1453	1128	1175	995	890	520	1000	1170	929	999	1460	892	1697	803	1020	1526	923	972	960	1004	657
YDR311W	chrIV;chrIV	1084937;1085029	1087096;1087097	+;+	2161	692	849	832	1064	798	897	729	575	479	716	799	594	800	1114	614	1102	614	692	854	734	771	645	681	482
YDR312W	chrIV;chrIV	1087497;1087523	1089141;1089165	+;+	1669	2035	2103	2668	3196	2862	2184	2523	1659	1464	1538	2252	2197	2607	3404	2353	3453	1801	2524	2902	2520	2897	1951	1825	1776
YDR313C	chrIV;chrIV	1089034;1089041	1091699;1090510	-;-	2666	177	121	205	157	235	338	93	262	168	228	239	180	312	360	236	232	187	172	181	209	266	251	233	158
YDR314C	chrIV	1090433	1092511	-	2079	45	110	107	95	76	85	63	61	32	69	80	70	71	93	71	103	76	58	42	39	63	42	69	34
YDR315C	chrIV;chrIV	1092551;1092606	1093613;1093633	-;-	1083	102	66	130	104	90	109	67	82	36	77	96	123	99	137	76	57	40	78	114	92	103	76	94	75
YDR316W	chrIV;chrIV	1093726;1093732	1095257;1095276	+;+	1551	1579	1504	1835	2107	1825	1825	1818	1128	946	1311	1989	1551	1528	1940	1324	1763	1210	1540	1688	1311	1574	1683	1395	1271
YDR317W	chrIV;chrIV	1102132;1102150	1103509;1103554	+;+	1423	37	34	57	51	65	15	11	24	26	7	30	31	29	51	37	43	24	17	32	31	49	59	35	6
YDR318W	chrIV;chrIV	1103725;1103745	1105085;1105159	+;+	1435	373	360	370	377	321	379	346	383	140	328	383	297	352	522	368	435	250	333	405	393	331	472	293	334
YDR319C	chrIV;chrIV	1104140;1104446	1105874;1105885	-;-	1746	316	402	317	385	263	388	271	263	139	311	361	273	434	567	356	305	358	269	309	203	225	329	267	183
YDR320C	chrIV;chrIV	1106004;1106004	1108163;1108137	-;-	2160	618	799	583	634	507	726	514	506	316	568	796	659	744	1012	688	602	667	537	601	442	595	537	560	417
YDR320C-A	chrIV;chrIV	1108128;1108201	1108508;1108768	-;-	641	2053	1700	3394	2798	2139	3813	3237	4244	1885	1803	4348	2427	3167	4098	2434	3439	1929	2203	5752	4706	4875	4795	4044	3807
YDR320W-B	chrIV;chrIV	1108229;1108256	1108655;1109176	+;+	948	30	24	34	31	15	21	33	18	15	20	45	29	9	32	28	34	19	12	61	4	23	24	40	57
YDR321W	chrIV;chrIV	1108671;1108671	1110064;1110101	+;+	1431	3185	3684	4059	3907	4030	3460	2475	3366	2353	2860	3994	3154	4021	4731	3157	4521	3044	3249	4164	3297	3952	2922	2622	2091
YDR322W	chrIV;chrIV	1110563;1110565	1111803;1111872	+;+	1310	972	735	1245	1229	1071	1681	923	921	499	775	1418	878	1166	1649	778	1219	741	761	1112	1010	1149	1305	1067	1056
YDR322C-A	chrIV;chrIV	1111649;1111663	1112322;1112340	-;-	692	3672	3969	4847	4860	4597	3641	4983	4492	2605	3373	5754	4113	3900	4769	3271	4765	3496	3747	4952	3992	4667	4168	3917	3860
YDR323C	chrIV;chrIV	1112294;1112333	1114074;1114057	-;-	1781	251	233	283	281	180	313	193	187	112	173	244	167	232	322	241	224	218	194	155	213	212	202	193	122
YDR324C	chrIV	1114433	1116763	-	2331	1324	1764	1614	1679	1522	1038	1112	889	874	1174	1210	1039	1607	1897	1318	1798	1306	1491	1238	1012	1123	728	848	766
YDR325W	chrIV	1116864	1120540	+	3677	447	603	615	695	536	649	453	616	374	801	850	605	691	893	556	787	427	643	796	603	676	797	695	517
YDR326C	chrIV	1120609	1124925	-	4317	937	1242	1511	1336	1431	1241	1364	1530	823	1025	1516	1027	1448	1763	1216	1738	923	1369	1591	1624	1646	1255	1345	1150
YDR327W	chrIV	1125302	1125628	+	327	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0
YDR328C	chrIV;chrIV	1125145;1125244	1126085;1126163	-;-	1019	1997	2375	2184	2238	1918	2751	2543	1769	1297	1744	2266	2049	2638	3113	2311	2162	1996	1731	2233	1901	1975	2130	1953	1694
YDR329C	chrIV;chrIV	1126164;1126179	1127617;1127624	-;-	1461	531	652	864	752	503	989	763	846	418	379	795	486	867	1198	676	743	613	553	838	787	755	815	829	601
YDR330W	chrIV;chrIV	1127791;1127794	1129581;1129603	+;+	1813	310	258	322	344	253	589	290	271	169	146	378	247	539	634	302	316	222	267	261	283	438	408	378	238
YDR331W	chrIV;chrIV	1129534;1129543	1130957;1130961	+;+	1428	321	296	368	371	384	381	386	411	271	256	317	305	403	454	488	381	369	316	229	157	312	348	345	252
YDR332W	chrIV;chrIV	1130976;1130976	1133150;1133155	+;+	2180	280	336	319	244	248	367	209	182	91	121	233	182	260	452	229	217	212	194	194	231	232	157	170	183
YDR333C	chrIV;chrIV	1133021;1133037	1135468;1135477	-;-	2457	1114	1480	1254	1473	1380	1120	1337	841	732	1011	1218	1008	1160	1383	1035	1496	1110	950	1264	1004	1075	1011	936	751
YDR334W	chrIV	1135932	1140476	+	4545	2583	2934	2291	2714	2166	3491	2598	1525	1215	1909	2343	1827	2923	4041	2378	2714	2205	2360	2642	2171	2265	2582	2188	1880
YDR335W	chrIV;chrIV	1140811;1140814	1144954;1144934	+;+	4144	1098	1610	1093	1110	832	1779	1266	1046	746	989	1228	836	1335	1736	1367	1271	1349	1108	1291	773	1463	1397	1273	1124
YDR336W	chrIV;chrIV	1144310;1145020	1146099;1146134	+;+	1825	284	316	369	367	342	252	312	243	240	316	322	299	220	357	238	339	201	263	311	280	312	206	301	259
YDR337W	chrIV;chrIV	1146252;1146255	1147408;1147408	+;+	1157	1229	1348	1777	1883	1751	1779	1603	1749	957	1161	1810	1534	1520	2022	1362	1997	1181	1498	2027	1536	2281	2101	1605	1550
YDR338C	chrIV;chrIV	1147247;1147255	1149616;1149717	-;-	2471	230	198	203	150	263	176	65	94	72	170	195	209	192	274	161	215	226	146	173	119	172	133	115	105
YDR339C	chrIV;chrIV	1149459;1149460	1150540;1150551	-;-	1093	3145	3672	4198	4797	4493	3925	4151	4239	3064	2228	4684	3256	5105	5989	4062	5812	3174	4264	6192	5489	6132	4306	4137	4237
YDR340W	chrIV	1150881	1151183	+	303	3	0	5	6	15	8	0	11	2	3	5	5	18	19	13	10	12	0	13	35	8	9	15	15
YDR341C	chrIV;chrIV	1151583;1151653	1153659;1153727	-;-	2145	7063	8047	7056	7585	6272	6947	4367	4483	3694	5570	6970	4745	7202	8808	6451	7530	6398	5596	6439	5039	5822	4754	4361	3470
YDR342C	chrIV;chrIV	1154074;1154074	1156137;1156412	-;-	2339	3169	1376	2584	4612	5600	5271	295	1274	2795	3156	3440	2246	4052	4427	3407	3743	3909	3572	3291	4230	4255	1768	2665	3060
YDR343C	chrIV	1159269	1161410	-	2142	166	136	122	196	211	186	82	55	72	120	86	74	160	169	113	163	181	196	157	95	123	90	82	62
YDR344C	chrIV	1162006	1162449	-	444	25	14	17	20	2	22	1	0	7	14	8	10	7	11	16	17	0	14	1	7	11	13	5	1
YDR345C	chrIV;chrIV	1162818;1162818	1164702;1164762	-;-	1945	12037	7800	13926	18324	15470	11042	4047	5993	7284	9771	11876	7919	11638	15751	8500	19235	9081	13047	14662	12262	13777	7409	8075	7685
YDR346C	chrIV;chrIV	1166895;1166899	1168886;1168872	-;-	1992	4723	4927	4431	5342	5280	4437	2967	2782	2255	4114	4187	3717	4846	5641	3828	4616	3808	3739	3813	3033	3355	2924	2668	2683
YDR347W	chrIV	1169061	1170267	+	1207	1015	978	892	1059	1167	1036	813	580	452	939	926	871	927	1206	700	1042	724	682	877	607	742	993	663	600
YDR348C	chrIV;chrIV	1170024;1170039	1172029;1172068	-;-	2045	1783	1739	2263	2608	2085	2553	2026	1865	1070	1419	2229	1829	2227	2995	1377	2775	1172	1913	2770	1958	2628	2246	1936	1720
YDR349C	chrIV;chrIV	1172232;1172264	1174289;1174808	-;-	2577	854	776	904	964	824	1189	436	667	370	629	783	642	1062	1293	751	820	648	635	854	657	803	717	642	389
YDR350C	chrIV;chrIV	1176047;1176047	1178231;1178202	-;-	2185	477	371	493	592	540	747	214	208	214	361	414	288	486	676	447	474	278	414	398	392	490	358	288	256
YDR351W	chrIV	1178617	1181414	+	2798	1535	1625	1609	1906	1678	2013	1326	1331	877	1144	1571	1288	1922	2538	1546	2090	1497	1649	1851	1396	1627	1560	1542	1227
YDR352W	chrIV;chrIV	1181613;1181684	1183305;1183315	+;+	1703	2	11	6	10	22	7	12	2	0	11	3	22	8	7	4	8	6	7	0	0	2	12	9	3
YDR353W	chrIV;chrIV	1181965;1183223	1184312;1184534	+;+	2570	5296	5313	7132	7199	5748	9786	6687	8638	4552	6893	10930	6966	8308	10729	6237	7821	6082	6104	9806	7579	8839	9961	8986	8249
YDR354W	chrIV;chrIV	1184618;1184621	1185971;1186001	+;+	1384	589	596	625	624	541	664	704	536	458	546	619	583	706	851	456	821	475	589	801	610	647	594	667	563
YDR354C-A	chrIV	1185139	1185282	-	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR355C	chrIV	1186067	1186369	-	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR356W	chrIV	1186107	1188941	+	2835	2424	2416	3073	3238	2631	3795	3413	3042	1419	1858	3743	2472	3320	4385	2550	3612	1660	2483	4025	3203	3868	4256	3350	2711
YDR357C	chrIV;chrIV	1189093;1189166	1189768;1189857	-;-	765	549	554	605	541	786	394	772	605	495	510	588	559	362	477	388	712	352	509	585	577	550	458	569	550
YDR358W	chrIV;chrIV	1190007;1190007	1191948;1191927	+;+	1942	379	234	251	270	220	562	172	260	84	233	292	207	413	545	339	217	247	209	196	189	249	352	246	162
YDR359C	chrIV	1191936	1194884	-	2949	791	1025	935	961	732	821	900	489	302	528	714	609	809	1093	634	922	607	727	713	540	650	595	542	448
YDR360W	chrIV	1194598	1195032	+	435	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	3	0	0	0
YDR361C	chrIV;chrIV	1194891;1195050	1196289;1196297	-;-	1407	3562	4935	5054	5751	5601	2729	5367	3498	3763	2814	3892	3652	4138	4360	3771	6415	3304	5111	5581	4647	5052	2723	3538	3560
YDR362C	chrIV;chrIV	1196464;1196480	1198807;1198807	-;-	2344	325	314	373	306	308	286	273	257	133	237	349	253	328	413	216	366	253	242	361	274	285	249	300	188
YDR363W	chrIV	1199006	1201491	+	2486	859	916	924	1082	854	1061	889	735	503	564	992	727	899	1338	954	1142	743	885	962	714	987	891	863	660
YDR363W-A	chrIV;chrIV	1202008;1202106	1202806;1202901	+;+	894	4198	4303	4673	5292	4775	6059	7233	5815	3747	4484	6732	5897	6704	8045	5627	5436	4418	5044	6022	5088	6570	7436	6892	5901
YDR364C	chrIV;chrIV	1201902;1202370	1204242;1204242	-;-	2341	704	695	505	638	670	547	640	453	361	566	540	561	648	759	528	675	567	501	439	393	430	417	463	358
YDR365C	chrIV;chrIV	1204384;1204384	1206458;1206470	-;-	2087	8502	8717	10572	11845	11069	8012	7343	6345	4861	5565	7834	6753	10470	12797	8408	13317	6897	9736	10264	7869	10144	6129	6257	5767
YDR366C	chrIV	1212438	1212836	-	399	0	1	0	0	7	0	0	18	0	0	3	1	0	6	0	2	0	0	9	0	1	0	0	0
YDR367W	chrIV;chrIV	1212724;1212805	1213810;1213861	+;+	1138	853	833	814	920	972	879	818	733	640	755	981	834	943	1291	959	926	941	834	974	843	884	666	677	576
YDR368W	chrIV;chrIV	1213765;1213796	1214994;1215015	+;+	1251	1275	1047	1027	1213	1304	1616	453	1097	850	1576	1503	1573	1672	1925	1677	939	1437	1206	1164	822	909	1137	1270	923
YDR369C	chrIV	1215016	1217580	-	2565	267	197	274	305	283	317	184	326	176	148	308	198	345	484	228	289	254	220	332	246	299	370	328	223
YDR370C	chrIV;chrIV	1217660;1217664	1219110;1219175	-;-	1516	308	454	394	595	524	428	296	322	296	360	510	548	423	429	343	545	271	412	455	452	467	330	350	353
YDR371W	chrIV;chrIV	1219298;1219350	1221049;1221086	+;+	1789	177	157	167	230	259	153	116	201	92	220	191	206	169	259	173	200	146	104	182	108	224	207	192	140
YDR371C-A	chrIV;chrIV	1219340;1219438	1219897;1220109	-;-	770	0	6	0	0	3	8	0	0	1	0	0	0	3	3	4	0	1	0	0	5	0	1	3	0
YDR372C	chrIV;chrIV	1220889;1220892	1222465;1222447	-;-	1577	1746	1261	1776	1843	1780	1701	899	1128	826	1285	1702	1348	2004	2246	1491	1878	1385	1312	1340	984	1482	1343	1132	968
YDR373W	chrIV;chrIV	1222658;1222682	1223441;1223462	+;+	805	51	25	41	55	124	90	39	146	69	141	130	202	109	85	155	63	59	51	40	119	125	113	61	59
YDR374C	chrIV	1223474	1224394	-	921	2	0	6	2	5	9	0	4	3	2	0	0	4	3	11	5	1	2	0	4	3	2	0	16
YDR374W-A	chrIV;chrIV	1224730;1224739	1225320;1225357	+;+	628	219	266	247	221	196	433	241	307	246	333	408	301	450	478	289	313	250	220	275	340	332	338	305	242
YDR375C	chrIV;chrIV	1225091;1225108	1226557;1226579	-;-	1489	540	672	695	657	686	646	511	432	331	640	581	563	448	549	374	668	471	502	614	487	481	527	455	380
YDR376W	chrIV;chrIV	1226729;1226759	1228469;1228436	+;+	1741	34	58	40	34	39	33	59	12	26	39	31	28	32	27	35	45	41	21	32	2	21	21	13	43
YDR377W	chrIV;chrIV	1227863;1228531	1229200;1229643	+;+	1781	4999	5571	5635	6175	6973	4952	7685	6349	4729	5569	7975	6326	5901	6587	5718	6176	5795	5922	6116	5523	6104	5707	5916	5726
YDR378C	chrIV;chrIV	1229047;1229140	1230060;1230061	-;-	1015	2379	1874	2440	2484	3359	3045	1479	3408	2426	3255	3950	4028	3533	3513	3516	3282	2730	2468	2618	2333	2788	3146	2614	2321
YDR379W	chrIV;chrIV	1230033;1230091	1233269;1233274	+;+	3242	664	567	671	694	604	821	465	472	304	410	551	421	613	962	473	733	387	566	668	602	759	597	568	460
YDR379C-A	chrIV;chrIV	1233148;1233206	1233766;1233757	-;-	619	189	127	138	159	80	448	130	239	78	64	150	145	304	381	176	90	202	102	173	156	159	388	243	234
YDR380W	chrIV;chrIV	1234110;1234115	1236269;1236269	+;+	2160	820	626	995	1055	575	1216	454	939	583	412	1107	747	1203	1604	683	1194	511	1057	1134	1121	1464	2313	1312	1149
YDR381W	chrIV;chrIV	1236461;1236461	1238351;1238352	+;+	1892	3255	2355	3453	3529	5023	5895	2612	4066	2690	3503	5393	4668	6194	7286	5242	3926	4017	2875	3810	3418	4440	4339	3002	2777
YDR381C-A	chrIV;chrIV	1238198;1238213	1239008;1239033	-;-	836	367	394	366	351	444	360	325	260	275	285	366	380	376	360	347	383	299	335	480	282	247	293	265	271
YDR382W	chrIV;chrIV	1239345;1239411	1239990;1240067	+;+	723	52180	41423	70469	62592	83114	75324	60236	103400	75362	59811	108076	74250	77077	81865	72518	89205	66148	71813	115937	99301	107427	101548	92453	82124
YDR383C	chrIV;chrIV	1238408;1239885	1241042;1240896	-;-	2635	225	190	200	246	261	272	188	247	137	189	199	237	298	381	220	195	238	157	383	198	297	335	258	184
YDR384C	chrIV;chrIV	1241044;1241132	1242539;1242540	-;-	1497	456	264	494	418	480	756	201	277	210	358	384	285	488	689	364	678	373	382	655	311	380	298	295	223
YDR385W	chrIV;chrIV	1243142;1243145	1245949;1245963	+;+	2822	24186	34634	22426	25636	31181	23642	20151	17797	18811	31832	27420	22940	24146	27346	22782	27630	32456	20456	25049	16500	19750	19851	20411	17241
YDR386W	chrIV;chrIV	1246063;1246063	1248210;1248091	+;+	2148	111	212	159	182	168	192	119	206	107	161	301	242	170	297	145	197	127	152	150	107	177	204	160	133
YDR387C	chrIV;chrIV	1247948;1247971	1249900;1249967	-;-	2020	374	478	348	291	336	318	180	199	107	356	195	189	318	475	344	251	351	220	207	157	169	200	186	113
YDR388W	chrIV;chrIV	1250135;1250135	1251783;1252152	+;+	2018	3836	4405	4537	4034	3086	5560	3790	3198	1577	3186	3996	3454	5643	7440	4422	4633	3914	3819	3811	2631	3968	4140	3658	2923
YDR389W	chrIV;chrIV	1252015;1252021	1254951;1254811	+;+	2937	956	792	1315	1185	982	1287	1117	905	462	637	1052	715	1115	1441	696	1431	677	781	1179	1070	1106	1066	940	619
YDR390C	chrIV;chrIV	1254754;1254838	1256876;1256876	-;-	2123	1567	1720	1778	1965	1663	1695	1403	1262	828	1115	1361	1190	1819	2208	1418	1802	1524	1369	1492	1305	1429	1380	1207	908
YDR391C	chrIV;chrIV	1257275;1257277	1258482;1258514	-;-	1240	1029	965	980	859	696	1866	575	644	398	459	758	399	1104	1410	960	631	947	572	645	631	699	646	687	558
YDR392W	chrIV;chrIV	1258191;1258655	1259839;1259984	+;+	1794	237	217	195	180	200	258	140	96	51	187	238	174	203	278	136	219	175	140	216	149	183	198	137	75
YDR393W	chrIV;chrIV	1259813;1259840	1261460;1261452	+;+	1648	533	511	617	619	477	662	764	723	357	631	863	743	603	841	542	698	445	551	713	576	659	810	771	546
YDR394W	chrIV;chrIV	1261365;1261562	1263049;1263118	+;+	1754	2140	1773	2209	2554	2006	3218	2112	1843	1156	1774	2731	2015	2757	3706	2067	1926	1838	1781	2496	2292	2513	2817	2490	2292
YDR395W	chrIV;chrIV	1263194;1263197	1266255;1266255	+;+	3062	1869	2217	1633	1802	2134	1489	1408	1001	1097	1899	1665	1776	1944	2177	1841	2092	1976	1658	1622	1263	1519	1391	1245	944
YDR396W	chrIV	1266295	1266795	+	501	32	56	40	47	51	30	45	14	17	11	39	13	13	14	14	49	20	20	43	25	8	14	30	8
YDR397C	chrIV;chrIV	1266185;1266268	1267186;1267252	-;-	1068	1566	1134	2204	2188	2582	2095	1780	2605	1827	1488	3247	2170	2374	2646	1676	2739	1418	2258	3646	3361	3285	2837	2416	2303
YDR398W	chrIV;chrIV	1267357;1267436	1269539;1269772	+;+	2416	1917	2287	2772	3119	2771	1876	2304	1662	1376	1537	1997	1989	2430	3075	1899	3278	1604	2580	3120	2474	3013	1919	1789	1751
YDR399W	chrIV;chrIV	1269999;1269999	1270976;1270974	+;+	978	5923	5817	11492	8565	12507	3445	11226	8612	5923	4558	10202	5054	3564	4702	2446	13846	2647	6930	17826	13167	10347	7591	8085	8341
YDR400W	chrIV	1271006	1272335	+	1330	125	63	80	88	142	146	27	99	71	147	182	120	206	235	156	161	139	85	140	102	96	164	71	56
YDR401W	chrIV	1272223	1272786	+	564	0	1	1	3	3	0	0	0	0	0	3	1	0	0	0	0	2	0	2	0	0	0	0	0
YDR402C	chrIV	1272234	1273703	-	1470	14	11	23	32	12	16	8	18	6	4	12	12	13	48	4	19	2	4	7	5	3	8	15	7
YDR403W	chrIV	1274602	1276212	+	1611	8	19	18	13	6	2	1	11	6	0	4	1	7	11	9	0	13	2	0	0	5	2	15	0
YDR404C	chrIV;chrIV	1276074;1276512	1277361;1277907	-;-	1834	1408	1418	2027	2020	1578	1938	1766	1692	804	1337	2227	1241	1954	2528	1207	2256	1188	1413	2216	1773	1739	1810	1737	1517
YDR405W	chrIV;chrIV	1277593;1277596	1279201;1279201	+;+	1609	1714	1485	2588	2780	1857	3040	2408	2307	1112	1294	2873	1753	2308	3137	1448	2652	1321	1909	2489	2184	2771	2533	2399	2088
YDR406W	chrIV	1279210	1283799	+	4590	116	104	61	95	67	92	34	47	31	46	70	60	103	133	106	74	110	73	58	42	64	48	32	22
YDR406W-A	chrIV	1283799	1284044	+	246	32	3	5	8	10	10	14	6	0	0	10	20	5	12	2	22	3	5	16	25	7	1	4	10
YDR407C	chrIV	1284000	1288060	-	4061	870	791	1207	1018	974	909	1430	1181	684	974	1311	1031	877	1059	632	1189	626	871	1383	1256	1180	1135	1094	1036
YDR408C	chrIV;chrIV	1288122;1288140	1289151;1289134	-;-	1030	3338	3139	3532	3502	3149	3872	3037	3378	1878	2688	4362	2836	3493	4262	3126	3687	2800	2907	3925	2646	2999	3157	2914	2508
YDR409W	chrIV	1289406	1292120	+	2715	46	12	53	52	56	64	16	32	11	48	78	40	48	78	35	36	41	58	40	23	55	45	59	17
YDR410C	chrIV;chrIV	1292242;1292269	1293200;1293161	-;-	959	274	329	460	396	422	431	557	470	311	320	643	393	432	537	294	499	260	379	669	405	623	552	480	423
YDR411C	chrIV;chrIV	1293119;1293256	1294426;1294444	-;-	1326	673	780	743	636	531	785	905	498	282	537	825	608	750	863	549	597	575	413	736	463	472	575	536	473
YDR412W	chrIV;chrIV	1294611;1294626	1295640;1295634	+;+	1030	2855	3486	3554	4095	3947	2239	2556	1978	1610	1876	2758	2277	2933	3393	2535	4032	2426	2903	2781	2141	2597	1770	1766	1896
YDR413C	chrIV	1294836	1295411	-	576	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
YDR414C	chrIV;chrIV	1295340;1295437	1296883;1296883	-;-	1544	386	369	490	454	580	369	283	422	355	451	606	489	456	492	408	468	339	432	594	367	588	464	482	475
YDR415C	chrIV;chrIV	1296692;1296704	1298215;1298205	-;-	1524	292	341	334	287	259	363	408	273	171	431	443	316	326	378	280	450	308	282	429	239	271	341	260	220
YDR416W	chrIV;chrIV	1298346;1298350	1301043;1301036	+;+	2698	62	169	76	98	110	70	108	77	52	84	125	101	81	130	78	145	64	96	94	41	88	80	86	84
YDR417C	chrIV	1301555	1301926	-	372	5	0	0	0	4	0	0	1	3	0	0	0	4	4	0	0	0	0	2	8	0	0	0	1
YDR418W	chrIV;chrIV	1300681;1301601	1302209;1302713	+;+	2033	46466	29812	68394	58346	57682	64547	32507	90933	44949	38566	93686	51414	50886	64086	36654	74786	34558	49647	116662	97202	94729	90349	80283	74046
YDR419W	chrIV;chrIV	1303169;1303169	1305407;1305459	+;+	2291	180	113	203	224	270	221	97	216	167	219	250	153	190	247	159	186	120	138	203	232	171	217	201	143
YDR420W	chrIV	1306267	1311675	+	5409	1043	1028	1289	1437	977	1192	1257	785	493	769	1291	720	1269	1871	937	1683	874	1046	1397	1020	1365	937	958	780
YDR421W	chrIV;chrIV	1311956;1311975	1314921;1314921	+;+	2966	161	207	273	253	167	293	115	165	71	147	246	170	260	278	137	258	150	168	241	199	150	235	200	170
YDR422C	chrIV;chrIV	1315031;1315036	1317829;1317883	-;-	2853	579	743	846	697	759	652	912	583	370	545	794	592	640	908	524	999	536	705	817	530	693	626	562	438
YDR423C	chrIV;chrIV	1317952;1317953	1319282;1319324	-;-	1373	799	1027	731	733	644	797	736	503	421	609	734	630	955	974	946	645	708	660	750	490	727	718	557	516
YDR424C	chrIV;chrIV	1319294;1319346	1319916;1319935	-;-	642	1462	1626	1855	1803	1864	1815	2861	2478	1624	1609	2888	1827	1881	2389	1760	2300	1839	1796	3050	2270	2685	2630	2428	2388
YDR425W	chrIV	1320018	1322052	+	2035	301	139	321	224	342	493	186	432	196	338	441	348	420	501	282	267	261	279	350	436	403	340	358	330
YDR426C	chrIV	1321629	1322006	-	378	2	0	16	7	0	1	4	4	3	4	0	0	13	4	3	4	2	14	21	6	5	8	9	5
YDR427W	chrIV;chrIV	1322173;1322173	1324346;1323520	+;+	2174	3652	2877	4523	5029	4203	5929	4991	4783	2421	2940	5886	4233	5680	7164	4037	4570	3093	3734	6077	5325	6317	5941	5638	5373
YDR428C	chrIV;chrIV	1322700;1323346	1324272;1324844	-;-	2145	530	623	704	752	498	658	537	600	360	529	712	689	917	1285	875	894	719	639	675	554	710	658	552	533
YDR429C	chrIV;chrIV	1323931;1324264	1325318;1325319	-;-	1389	7274	8888	9886	9683	8525	8555	9587	6659	4121	4748	7782	6275	8709	12043	6617	10941	6009	7776	8779	7437	8847	7136	6136	5506
YDR430C	chrIV;chrIV	1325450;1325468	1328541;1328535	-;-	3092	611	823	511	556	618	478	398	340	372	754	640	565	454	591	516	642	647	524	582	389	462	489	479	301
YDR431W	chrIV	1328390	1328701	+	312	3	1	2	4	2	1	2	3	1	0	3	0	7	1	2	0	1	0	7	0	9	0	0	4
YDR432W	chrIV	1328783	1330027	+	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YDR433W	chrIV;chrIV	1328796;1328941	1330427;1330736	+;+	1941	2771	2607	3604	3257	2986	4133	2692	2948	1670	2066	4208	2572	4101	5649	2678	4005	2579	3064	3608	2620	3638	3657	3428	2549
YDR434W	chrIV;chrIV	1331049;1331129	1332934;1332977	+;+	1929	678	652	673	764	635	740	654	674	357	550	795	612	793	1012	662	872	560	648	834	783	772	827	746	456
YDR435C	chrIV;chrIV	1332825;1332857	1334349;1334182	-;-	1525	222	255	306	358	182	556	256	264	182	246	410	293	327	456	240	236	257	264	386	362	363	360	326	309
YDR436W	chrIV;chrIV	1334568;1334689	1337116;1337114	+;+	2549	123	104	109	124	137	231	54	89	67	187	207	180	207	158	131	193	95	148	133	103	125	152	184	148
YDR437W	chrIV;chrIV	1337285;1337307	1339301;1339173	+;+	2017	0	0	5	0	1	0	0	0	1	0	0	2	4	2	0	1	3	3	0	0	1	0	0	5
YDR438W	chrIV;chrIV	1337443;1337765	1339472;1339472	+;+	2030	11	40	17	32	41	27	13	14	20	45	17	10	22	25	22	45	18	13	58	17	14	8	35	15
